X,Y,id,Label,Label2,Oznaka,icon_url
16.2015330302565,44.041890688878,,Knin,Knin,Da,./0.png
16.4028722090638,43.9107601813971,,Vrlika,Vrlika,Da,./0.png
16.643371328377,43.7021523175882,,Sinj,Sinj,Da,./0.png
16.215633932003,44.0973023747614,,Golubić,,,
16.3556735660632,43.9783932620539,,Kijevo,Kijevo,Da,./0.png
16.2937250977792,43.9959474696579,,Polača,,,
16.4050421783415,43.9546426687588,,Cviljane,,,
16.6329016646862,43.8124367437681,,Donji Bitelić,,,
16.6381839141333,43.7758353844776,,Rumin,Rumin,Da,./0.png
16.6211582064774,43.755128170567,,Hrvace,,,
16.5197572892617,43.8176938967556,,Maljkovo,,,
16.5564463929594,43.832578703875,,Dabar,,,
16.5367733338953,43.8507222001643,,Laktac,,,
16.4960487968169,43.8763119208685,,Koljane,,,
16.458423029221,43.904155093052,,Garjak,,,
16.4530913922827,43.8490992531783,,Ortišić,,,
16.4287783281906,43.9737665326346,,Cetina,,,
16.4607526491466,43.9263578648273,,Ježević,,,
16.5721085590522,43.8361322245704,,Vučipolje,,,
16.6301754632746,43.7926850362547,,Gornji Bitelić,,,
16.565380318843,43.8202676957101,,Zaslok,,,
16.5626587429878,43.783998023204,,Potravlje,,,
16.5769524797879,43.7758525309649,,Satrić,,,
16.4358873205406,43.9307403121198,,Vinalić,,,
16.413256476275,43.9318588232187,,Kosore,,,
16.4164329222904,43.9035248933713,,Podosoje,,,
16.4401889058265,43.886214104967,,Grabići,,,
16.2617401651518,44.1695007137156,,Strmica,,,
16.6958014091202,43.7298045985975,,Orovac Sinjski,,,
16.6540770408101,43.7426606781,,Čitluk,,,
16.6368581926215,43.7334527651379,,Karakašica,,,
16.7333731186172,43.68698517713,,Otok,Otok,Da,./0.png
16.7283391875674,43.7129037974637,,Gala,,,
16.7473451440047,43.6660670224262,,Udovčić,,,
16.754444167351,43.6568214931622,,Vrabač,,,
16.7624238291165,43.6454684089932,,Grab,,,
16.7844010083578,43.6718102684646,,Ruda,,,
16.7925756519868,43.6554348262852,,Podi,,,
16.8707206926476,43.6331857232484,,LJut,,,
16.9031701159662,43.6515358314339,,Voštane,Voštane,Da,./0.png
16.8463490228618,43.6596566322108,,Rože,,,
16.8136869168583,43.6408052116279,,Krivodol,,,
16.7465185059198,43.6820997356215,,Ovrlje,,,
16.7572482218476,43.7389126523035,,Gljev,Gljev,Da,./0.png
16.8061989978278,43.703006089451,,Korita,,,
16.6719651965405,43.7497295718584,,Bajagić,,,
